time_sec,tp_total_mbps,tp_recent_mbps,rtt_us,rtt_variance_us,cwnd_kb,total_cpu,ksoftirq,bench_native
1,957,957,2155,140,463,27.69,0.00,27.69
2,948,939,2197,164,463,24.37,0.00,24.37
3,946,941,2203,160,463,25.06,0.00,25.06
4,944,941,2263,175,463,25.06,0.00,25.06
5,944,943,2243,158,463,26.13,1.01,25.13
6,944,945,2230,163,463,24.18,0.00,24.18
7,943,934,2202,151,463,25.25,0.00,25.25
8,943,941,2292,138,463,25.25,0.00,25.25
9,942,941,2252,211,463,25.87,0.00,25.87
10,942,943,2306,139,463,24.06,0.00,24.06
11,943,945,2246,151,463,29.07,1.00,28.07
12,942,936,2269,164,463,25.25,0.00,25.25
13,942,940,2284,186,463,25.32,0.00,25.32
14,942,947,2273,126,463,25.25,0.00,25.25
15,942,937,2289,175,463,23.35,0.00,23.35
16,942,939,2216,208,463,25.19,0.00,25.19
17,942,947,2163,153,463,26.67,1.03,25.64
18,942,935,2232,150,463,25.13,0.00,25.13
19,942,943,2287,199,463,24.18,0.00,24.18
20,942,937,2317,154,463,25.06,0.00,25.06
21,941,940,2250,178,463,25.32,0.00,25.32
22,941,940,2257,197,463,25.81,0.99,24.81
23,942,946,2161,152,463,24.88,0.00,24.88
24,941,938,2199,150,463,24.62,0.00,24.62
25,941,936,2151,149,463,24.94,0.00,24.94
26,941,941,2218,160,463,24.12,0.00,24.12
27,941,941,2194,155,463,24.55,0.00,24.55
28,941,940,2197,143,463,24.37,0.00,24.37
29,941,940,2110,147,463,25.45,0.00,25.45
30,941,943,2256,159,463,25.25,0.00,25.25
31,941,945,2319,179,463,25.13,1.01,24.12
32,941,934,2214,169,463,25.19,0.00,25.19
33,941,943,2218,155,463,25.32,0.00,25.32
34,941,937,2155,160,463,24.68,0.00,24.68
35,941,940,2159,154,463,27.48,1.02,26.46
36,941,940,2285,145,463,24.06,0.00,24.06
