time_sec,tp_total_mbps,tp_recent_mbps,rtt_us,rtt_variance_us,cwnd_kb,total_cpu,ksoftirq,irq/54-nvidia,bench_gdrtcp
1,951,951,2311,156,386,100.50,0.00,0.00,100.50
2,946,941,2334,183,405,101.01,0.00,0.00,101.01
3,944,941,2301,186,444,101.75,1.00,0.00,100.75
4,945,945,2264,105,444,100.51,0.00,0.00,100.51
5,943,937,2342,180,444,101.27,0.00,0.00,101.27
6,942,940,2308,94,444,102.30,0.00,0.00,102.30
7,943,943,2292,126,444,103.59,0.00,0.00,103.59
8,942,940,2307,157,444,102.02,1.01,0.00,101.01
9,942,940,2857,104,551,101.78,0.00,0.00,101.78
10,943,948,2841,96,580,100.50,0.00,0.00,100.50
11,942,933,2814,93,580,99.26,0.00,0.00,99.26
12,942,941,2310,147,580,100.75,0.00,0.00,100.75
13,942,948,2829,101,580,99.26,0.00,0.00,99.26
14,941,932,2337,175,580,101.26,1.01,0.00,100.25
15,942,949,2609,257,580,101.25,1.00,0.00,100.25
16,941,931,2326,118,580,102.02,1.01,0.00,101.01
17,941,945,2302,91,580,101.27,0.00,0.00,101.27
18,941,935,2687,205,580,99.51,0.00,0.00,99.51
19,941,940,2343,183,580,102.77,1.01,0.00,101.76
20,941,940,2889,158,580,101.78,0.00,0.00,101.78
21,941,947,2315,166,580,101.78,0.00,0.00,101.78
22,941,933,2281,104,580,100.76,0.00,0.00,100.76
23,941,943,2281,87,580,100.00,0.00,0.00,100.00
24,941,937,2880,183,580,102.80,0.00,0.00,102.80
25,941,944,3411,105,877,102.80,1.02,0.00,101.78
26,941,947,2814,99,877,101.27,0.00,0.00,101.27
27,941,933,3486,134,1322,101.00,0.00,0.00,101.00
28,941,941,3919,89,1322,103.90,0.00,0.00,103.90
29,941,940,3883,241,1322,101.52,0.00,0.00,101.52
30,941,938,4544,171,1986,102.52,2.02,0.00,100.50
31,941,940,4497,166,1986,102.02,0.00,0.00,102.02
32,941,950,4509,169,1986,102.04,0.00,0.00,102.04
33,941,931,4550,167,1986,101.27,0.00,0.00,101.27
34,941,940,4504,154,1986,102.28,0.00,0.00,102.28
35,941,940,4573,170,1986,102.54,1.02,0.00,101.52
36,941,941,4486,141,1986,103.06,0.00,0.00,103.06
